------Mass density on XY plane (unit:g/cm^3)------
dx = 2.000, dy = 2.000, dz = 72.000
xpos   ypos   zpos   massDensity
25.000 41.000 36.000 0.000000
25.000 43.000 36.000 0.000000
25.000 45.000 36.000 0.000000
25.000 47.000 36.000 0.000000
25.000 49.000 36.000 0.000000
25.000 51.000 36.000 0.000000
25.000 53.000 36.000 0.000000
25.000 55.000 36.000 0.000000
25.000 57.000 36.000 0.000000
25.000 59.000 36.000 0.000000
25.000 61.000 36.000 0.000000
25.000 63.000 36.000 0.000000
25.000 65.000 36.000 0.000000
25.000 67.000 36.000 0.000000
25.000 69.000 36.000 0.000000
25.000 71.000 36.000 0.000000
25.000 73.000 36.000 0.000000
25.000 75.000 36.000 0.080874
25.000 77.000 36.000 0.092247
25.000 79.000 36.000 0.092247
25.000 81.000 36.000 0.005812
25.000 83.000 36.000 0.000000
25.000 85.000 36.000 0.000000
25.000 87.000 36.000 0.000000
25.000 89.000 36.000 0.000000
25.000 91.000 36.000 0.000000
25.000 93.000 36.000 0.000000
25.000 95.000 36.000 0.000000
25.000 97.000 36.000 0.000000
25.000 99.000 36.000 0.000000
25.000 101.000 36.000 0.000000
25.000 103.000 36.000 0.000000
25.000 105.000 36.000 0.000000
25.000 107.000 36.000 0.000000
25.000 109.000 36.000 0.000000
25.000 111.000 36.000 0.000000
25.000 113.000 36.000 0.000000
25.000 115.000 36.000 0.000000
27.000 1.000 36.000 0.000000
27.000 3.000 36.000 0.000000
27.000 5.000 36.000 0.000000
27.000 7.000 36.000 0.000000
27.000 9.000 36.000 0.000000
27.000 11.000 36.000 0.000000
27.000 13.000 36.000 0.000000
27.000 15.000 36.000 0.000000
27.000 17.000 36.000 0.000000
27.000 19.000 36.000 0.000000
27.000 21.000 36.000 0.000000
27.000 23.000 36.000 0.000000
27.000 25.000 36.000 0.000000
27.000 27.000 36.000 0.000000
27.000 29.000 36.000 0.000000
27.000 31.000 36.000 0.000000
27.000 33.000 36.000 0.005812
27.000 35.000 36.000 0.000000
27.000 37.000 36.000 0.000000
27.000 39.000 36.000 0.000000
27.000 41.000 36.000 0.000000
27.000 43.000 36.000 0.000000
27.000 45.000 36.000 0.000000
27.000 47.000 36.000 0.000000
27.000 49.000 36.000 0.000000
27.000 51.000 36.000 0.000000
27.000 53.000 36.000 0.000000
27.000 55.000 36.000 0.000000
27.000 57.000 36.000 0.000000
27.000 59.000 36.000 0.098058
27.000 61.000 36.000 0.000000
27.000 63.000 36.000 0.000000
27.000 65.000 36.000 0.000000
27.000 67.000 36.000 0.000000
27.000 69.000 36.000 0.000000
27.000 71.000 36.000 0.000000
27.000 73.000 36.000 0.098058
27.000 75.000 36.000 0.075063
27.000 77.000 36.000 0.150125
27.000 79.000 36.000 0.098058
27.000 81.000 36.000 0.000000
27.000 83.000 36.000 0.000000
27.000 85.000 36.000 0.000000
27.000 87.000 36.000 0.000000
27.000 89.000 36.000 0.000000
27.000 91.000 36.000 0.000000
27.000 93.000 36.000 0.000000
27.000 95.000 36.000 0.000000
27.000 97.000 36.000 0.000000
27.000 99.000 36.000 0.000000
