------Mass density on XY plane (unit:g/cm^3)------
dx = 2.000, dy = 2.000, dz = 72.000
xpos   ypos   zpos   massDensity
17.000 35.000 36.000 0.617408
17.000 37.000 36.000 1.032889
17.000 39.000 36.000 0.963889
17.000 41.000 36.000 0.721279
17.000 43.000 36.000 1.234817
17.000 45.000 36.000 1.119323
17.000 47.000 36.000 0.260046
17.000 49.000 36.000 1.419310
17.000 51.000 36.000 0.917395
17.000 53.000 36.000 1.303817
17.000 55.000 36.000 0.542597
17.000 57.000 36.000 0.842584
17.000 59.000 36.000 0.658091
17.000 61.000 36.000 1.240629
17.000 63.000 36.000 0.929019
17.000 65.000 36.000 1.096076
17.000 67.000 36.000 0.963889
17.000 69.000 36.000 1.494121
17.000 71.000 36.000 0.830960
17.000 73.000 36.000 0.929019
17.000 75.000 36.000 0.854207
17.000 77.000 36.000 1.038700
17.000 79.000 36.000 1.119323
17.000 81.000 36.000 1.211570
17.000 83.000 36.000 1.032889
17.000 85.000 36.000 1.021265
17.000 87.000 36.000 1.211570
17.000 89.000 36.000 0.756149
17.000 91.000 36.000 1.321252
17.000 93.000 36.000 0.929019
17.000 95.000 36.000 1.338687
17.000 97.000 36.000 0.703843
17.000 99.000 36.000 0.958077
17.000 101.000 36.000 0.923207
17.000 103.000 36.000 0.721279
17.000 105.000 36.000 1.009642
17.000 107.000 36.000 0.952266
17.000 109.000 36.000 1.038700
17.000 111.000 36.000 0.899960
17.000 113.000 36.000 0.727090
17.000 115.000 36.000 1.258064
19.000 1.000 36.000 0.536785
19.000 3.000 36.000 0.825149
19.000 5.000 36.000 0.848396
19.000 7.000 36.000 1.154194
19.000 9.000 36.000 0.998018
19.000 11.000 36.000 0.756149
19.000 13.000 36.000 0.652279
19.000 15.000 36.000 1.534804
19.000 17.000 36.000 1.223193
19.000 19.000 36.000 0.727090
19.000 21.000 36.000 0.750337
19.000 23.000 36.000 0.940642
19.000 25.000 36.000 0.732902
19.000 27.000 36.000 0.836772
19.000 29.000 36.000 0.652279
19.000 31.000 36.000 0.917395
19.000 33.000 36.000 0.640655
19.000 35.000 36.000 0.842584
19.000 37.000 36.000 0.946454
19.000 39.000 36.000 1.309628
19.000 41.000 36.000 0.917395
19.000 43.000 36.000 0.877454
19.000 45.000 36.000 1.113512
19.000 47.000 36.000 1.038700
19.000 49.000 36.000 0.634844
19.000 51.000 36.000 1.246440
19.000 53.000 36.000 0.854207
19.000 55.000 36.000 0.934830
19.000 57.000 36.000 1.021265
19.000 59.000 36.000 0.801902
19.000 61.000 36.000 0.911583
19.000 63.000 36.000 1.119323
19.000 65.000 36.000 1.032889
19.000 67.000 36.000 1.107700
19.000 69.000 36.000 1.079383
19.000 71.000 36.000 0.432915
19.000 73.000 36.000 1.217382
19.000 75.000 36.000 0.358104
19.000 77.000 36.000 1.015453
19.000 79.000 36.000 0.611597
19.000 81.000 36.000 0.640655
19.000 83.000 36.000 1.199946
19.000 85.000 36.000 0.842584
19.000 87.000 36.000 0.634844
19.000 89.000 36.000 1.130947
19.000 91.000 36.000 0.767773
19.000 93.000 36.000 1.021265
19.000 95.000 36.000 1.038700
19.000 97.000 36.000 1.038700
19.000 99.000 36.000 0.738714
19.000 101.000 36.000 1.044512
19.000 103.000 36.000 0.848396
19.000 105.000 36.000 0.934830
19.000 107.000 36.000 0.998018
19.000 109.000 36.000 0.952266
19.000 111.000 36.000 0.594903
19.000 113.000 36.000 0.911583
19.000 115.000 36.000 1.211570
21.000 1.000 36.000 1.119323
21.000 3.000 36.000 0.646467
21.000 5.000 36.000 0.819337
21.000 7.000 36.000 0.871643
21.000 9.000 36.000 0.952266
21.000 11.000 36.000 1.229005
21.000 13.000 36.000 0.727090
21.000 15.000 36.000 0.934830
21.000 17.000 36.000 0.848396
21.000 19.000 36.000 0.727090
21.000 21.000 36.000 0.940642
21.000 23.000 36.000 0.958077
21.000 25.000 36.000 1.090265
21.000 27.000 36.000 1.217382
21.000 29.000 36.000 0.929019
21.000 31.000 36.000 0.836772
21.000 33.000 36.000 1.442557
21.000 35.000 36.000 0.617408
21.000 37.000 36.000 1.223193
21.000 39.000 36.000 0.744526
